sr_no,date_dd_mm_yyyy,startup_name,industry_vertical,sub_vertical,city_location,investors_name,investment_type,amount_in_usd,remarks,year,funding_tier
1,09/01/2020,Byju’S,E-Tech,E-Learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000,No Remarks,2018,Late Stage Mega Round
2,13/01/2020,Shuttl,Transportation,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,8048394,No Remarks,2018,Growth Capital
3,09/01/2020,Mamaearth,E-Commerce,Retailer Of Baby And Toddler Products,Bengaluru,Sequoia Capital India,Series B,18358860,No Remarks,2018,Growth Capital
4,02/01/2020,Https://Www.Wealthbucket.In/,Fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,3000000,No Remarks,2018,Growth Capital
5,02/01/2020,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,No Remarks,2018,Seed & Early Stage
6,13/01/2020,Pando,Logistics,"Open-Market, Freight Management Platform",Chennai,Chiratae Ventures,Series A,9000000,No Remarks,2018,Growth Capital
7,10/01/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000,No Remarks,2018,Late Stage Mega Round
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,No Remarks,2018,Growth Capital
9,06/12/2019,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000,No Remarks,2018,Late Stage Mega Round
10,03/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,No Remarks,2018,Late Stage Mega Round
11,13/12/2019,Rivigo,Technology,Logistics Services And Solutions,Gurgaon,"Saif Partners, Spring Canter Investment Ltd.",Series F,20000000,No Remarks,2018,Growth Capital
12,17/12/2019,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, Nptk, Sabre Partners And Neoplux",Series C,12000000,No Remarks,2018,Growth Capital
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000,No Remarks,2018,Growth Capital
14,16/12/2019,Incred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000,No Remarks,2018,Growth Capital
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000,No Remarks,2018,Growth Capital
16,11/12/2019,Rein Games,Gaming,Real Money Based Gaming Startup,Noida,Manipal Education And Medical Group (Memg),Seed Round,50000000,No Remarks,2018,Late Stage Mega Round
17,20/12/2019,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Softbank Vision Fund,Series G,231000000,No Remarks,2018,Late Stage Mega Round
18,13/11/2019,Freshworks,Software,Business And Customer Engagement Tools,San Francisco,"Sequoia, Capitalg, Accel",Series H,150000000,No Remarks,2018,Late Stage Mega Round
19,14/11/2019,Misters,Health And Wellness,Men'S Health And Wellness Brand,Gurgaon,"Sauce.Vc, Rainforest Ventures",Series B,486000,No Remarks,2018,Seed & Early Stage
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg",Seed,1500000,No Remarks,2018,Seed & Early Stage
21,17/11/2019,Burger Singh,Food And Beverage,Indian Burger Brand,Gurgaon,Rb Investments,Venture,0,No Remarks,2018,Undisclosed
22,18/11/2019,Healthians,Health And Wellness,Healthcare Services,Gurgaon,"Dg Daiwa Ventures, Dg Incubation",Series B,12000000,No Remarks,2018,Growth Capital
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000,No Remarks,2018,Growth Capital
24,20/11/2019,Aye Finance,Fintech,Financial Services To Msmes,Gurgaon,Fintech,Debt Funding,17411265,No Remarks,2018,Growth Capital
25,12/11/2019,Supergaming,Video Games,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,1300000,No Remarks,2018,Seed & Early Stage
26,20/11/2019,Clumio,Saas,Recovery Software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000,No Remarks,2018,Late Stage Mega Round
27,11/11/2019,Ebikego,Last Mile Transportation,Electric Bike Rental,Amritsar,Startup Buddy,Seed,300000,No Remarks,2018,Seed & Early Stage
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual E-Commerce Platform,Delhi,Amour Infrastructure,Seed Funding,220000000,No Remarks,2018,Late Stage Mega Round
29,18/11/2019,Medikabazaar,Healthcare,B2B Platform For Medical Supplies,Mumbai,"Ackermans & Van Haaren, Healthquad, Rebright Partners, Toppan Printing",Series B,15800000,No Remarks,2018,Growth Capital
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter Sharing App,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,No Remarks,2018,Late Stage Mega Round
31,19/11/2019,Furtados School Of Music,Education,Music Education,Tulangan,Ian Fund And Dsg Consumer Partners,Unknown,200000000,No Remarks,2018,Late Stage Mega Round
32,25/11/2019,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000,No Remarks,2018,Late Stage Mega Round
33,04/10/2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000,No Remarks,2018,Growth Capital
34,02/10/2019,Udaan,B2B,Business Development,Bengaluru,"Altimeter Capital, Dst Global",Series D,585000000,No Remarks,2018,Late Stage Mega Round
35,21/10/2019,The Man Company,Consumer Goods,Beauty And Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0,No Remarks,2018,Undisclosed
36,05/09/2019,Fpl Technologies,Fintech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,No Remarks,2018,Growth Capital
37,04/09/2019,Cashflo,Fintech,Invoice Discounting Platform And Sme Lending Marketplace,Mumbai,Saif Partners,Series A,3300000,No Remarks,2018,Growth Capital
38,04/09/2019,Digital F5,"Advertising, Marketing",Digital Marketing Firm,Mumbai,Tiw Private Equity,Private Equity Round,6000000,No Remarks,2018,Growth Capital
39,04/09/2019,3Rdflix,Saas,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000,No Remarks,2018,Growth Capital
40,04/09/2019,75F,Iot,Building Automation System,Burnsville,Breakthrough Energy Ventures,Series A,18000000,No Remarks,2018,Growth Capital
41,04/09/2019,Myelin Foundry,Information Technology,Deep-Technology,Bengaluru,Endiya Partners,Seed,1000000,No Remarks,2018,Seed & Early Stage
42,04/09/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,No Remarks,2018,Growth Capital
43,04/09/2019,Goqii,Health And Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman And Company Ltd (Bccl),Series C,450000000,No Remarks,2018,Late Stage Mega Round
44,03/09/2019,Vyapar App,Accounting,Mobile-Based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000,No Remarks,2018,Growth Capital
45,01/08/2019,Cardekho,E-Commerce,Automotive,Gurgaon,Sc Gg India Mobility Holdings Llc,Series C,20000000,No Remarks,2018,Growth Capital
46,01/08/2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000,No Remarks,2018,Growth Capital
47,01/08/2019,Mypetrolpump,Retail,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,1600000,No Remarks,2018,Seed & Early Stage
48,01/08/2019,Alteria Capital,Finance,Vc Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000,No Remarks,2018,Late Stage Mega Round
49,01/08/2019,Pine Labs,Information Technology,Last-Mile Retail Transaction Technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000,No Remarks,2018,Growth Capital
50,12/08/2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000,No Remarks,2018,Late Stage Mega Round
51,13/08/2019,Cars24,E-Commerce,Car Retail,Gurugram,Ms Dhoni,Series D,11000000,No Remarks,2018,Growth Capital
52,13/08/2019,Uniphore,Customer Service Platform,Conversational Ai,Palo Alto,March Capital Partners,Series C,51000000,No Remarks,2018,Late Stage Mega Round
53,23/08/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,Xl Innovate,Series B,37000000,No Remarks,2018,Growth Capital
54,23/08/2019,Lo! Foods,Consumer Goods,Low Carb Food For Diabetics,Bengaluru,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Co-Founder, Myntra) And Mitesh Shah (Finance Chief, Bookmyshow)",Seed Round,500000,No Remarks,2018,Seed & Early Stage
55,23/08/2019,Tala,Fintech,Digital Lending Platform,Santa Monica,Rps Ventures,Series D,110000000,No Remarks,2018,Late Stage Mega Round
56,22/08/2019,Indwealth,Fintech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000,No Remarks,2018,Growth Capital
57,21/08/2019,Hungerbox,Food And Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000,No Remarks,2018,Growth Capital
58,23/08/2019,Admitkard,Edtech,University Admissions,Noida,Growth Dna,Seed Round,1000000,No Remarks,2018,Seed & Early Stage
59,19/08/2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0,No Remarks,2018,Undisclosed
60,19/08/2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000,No Remarks,2018,Late Stage Mega Round
61,27/08/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000,No Remarks,2018,Late Stage Mega Round
62,02/07/2019,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, Iifl Wealth",Series B,19000000,No Remarks,2018,Growth Capital
63,02/07/2019,Atlan,Information Technology,Big Data,Singapore,Waterbridge Ventures,Pre-Series A,2500000,No Remarks,2018,Growth Capital
64,01/07/2019,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000,No Remarks,2018,Seed & Early Stage
65,03/07/2019,Ola Cabs,Transport,Cabs,Kormangala,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",Series J,1000000,No Remarks,2018,Seed & Early Stage
66,01/07/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000,No Remarks,2018,Growth Capital
67,04/07/2019,Daalchini Technologies,Food And Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000,No Remarks,2018,Seed & Early Stage
68,10/07/2019,"""Byju\\'S""",Edtech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000,No Remarks,2018,Late Stage Mega Round
69,11/07/2019,Moglix,E-Commerce,Industrial Tools And Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000,No Remarks,2018,Late Stage Mega Round
70,10/07/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000,No Remarks,2018,Growth Capital
71,10/07/2019,Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000,No Remarks,2018,Growth Capital
72,10/07/2019,Healthassure,Health Care,Primary Care Medical Network,Mumbai,Blume Ventures,Series A,2500000,No Remarks,2018,Growth Capital
73,09/07/2019,House Of Msasaba,Luxury Label,Clothes And Apparel,Mumbai,Binny Bansal,Series A,1000000,No Remarks,2018,Seed & Early Stage
74,08/07/2019,Board Infinity,Edtech,Full-Stack Career Platform,Chembur,Multiple Angel Investors,Angel Round,319605,No Remarks,2018,Seed & Early Stage
75,05/06/2019,Nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000,No Remarks,2018,Late Stage Mega Round
76,04/06/2019,Bira91,Food And Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000,No Remarks,2018,Growth Capital
77,03/06/2019,Fabhotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners And Qualcomm",Unknown,4889975,No Remarks,2018,Growth Capital
78,03/06/2019,Avail Finance,Finance,Fintech,Bengaluru,Matrix Partners,Series A,9000000,No Remarks,2018,Growth Capital
79,04/06/2019,Bharatpe,Finance,Fintech,New Delhi,Insight Partners,Series B,75000000,No Remarks,2018,Late Stage Mega Round
80,04/06/2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",Pre-Series A,26000000,No Remarks,2018,Growth Capital
81,03/06/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures And Rtp Global,Pre-Series A,2500000,No Remarks,2018,Growth Capital
82,06/06/2019,Sistema.Bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, Dila Capital, Engie Rde Fund, Ecoenterprise Fund, Edfimc (Electrifi), Endeavor Catalyst Fund, Cocapital, Triodos, Alpha Mundi, And Lendahand",Unknown,2739034,No Remarks,2018,Growth Capital
83,06/06/2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,Ian Fund,Series A,26000000,No Remarks,2018,Growth Capital
84,06/06/2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500,No Remarks,2018,Growth Capital
85,10/06/2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200,No Remarks,2018,Seed & Early Stage
86,10/06/2019,Okcredit,Fintech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,No Remarks,2018,Growth Capital
87,06/06/2019,Biz2Credit,Fintech,Online Lending Platform,New York,Westbridge Capital,Series B,52000000,No Remarks,2018,Late Stage Mega Round
88,08/06/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000,No Remarks,2018,Growth Capital
89,04/06/2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000,No Remarks,2018,Growth Capital
90,06/05/2019,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0,No Remarks,2018,Undisclosed
91,06/05/2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600,No Remarks,2018,Seed & Early Stage
92,05/05/2019,Styledotme,E-Commerce,Fashion And Shopping,Delhi,"Indian Angel Network And Other Angel Investors, Innov8 Founder Ritesh Malik, Josh Talks Founders Supriya Paul And Shobha Banga, And Former Hero Corporate President Rohit Chanana",Bridge Round,0,No Remarks,2018,Undisclosed
93,01/05/2019,Blackbuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners And Silicon Valley-Based Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Sands Capital And International Finance Corporation,",Series D,150000000,No Remarks,2018,Late Stage Mega Round
94,02/05/2019,Zenoti,Saas,Beauty And Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000,No Remarks,2018,Late Stage Mega Round
95,28/05/2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000,No Remarks,2018,Late Stage Mega Round
96,28/05/2019,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000,No Remarks,2018,Late Stage Mega Round
97,30/05/2019,Glowroad,E-Commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000,No Remarks,2018,Growth Capital
98,31/05/2019,Bira91,Food And Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000,No Remarks,2018,Growth Capital
99,16/04/2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000,No Remarks,2018,Growth Capital
100,12/04/2019,Medlife,E-Commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000,No Remarks,2018,Growth Capital
101,10/04/2019,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport,",Private Equity,430665,No Remarks,2018,Seed & Early Stage
102,13/04/2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (Formerly Idg Ventures), 3One4 Capital, Lasmer Nv",Series B,3591375,No Remarks,2018,Growth Capital
